GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
travelapi,be.pxl.travelapi,TravelapiApplication,5,3,0,0,2,1,1,1,1,1
travelapi,be.pxl.travelapi.models,Region,8,23,0,0,4,10,2,7,2,7
travelapi,be.pxl.travelapi.models,Booking,35,3,0,0,15,2,10,1,10,1
travelapi,be.pxl.travelapi.models,PaymentStatus,24,0,0,0,2,0,1,0,1,0
travelapi,be.pxl.travelapi.models,Image,21,3,0,0,9,2,6,1,6,1
travelapi,be.pxl.travelapi.models,User,42,3,0,0,18,2,12,1,12,1
travelapi,be.pxl.travelapi.models,City,0,38,0,0,0,17,0,11,0,11
travelapi,be.pxl.travelapi.models,Payment,28,3,0,0,12,2,8,1,8,1
travelapi,be.pxl.travelapi.models,Country,0,17,0,0,0,8,0,5,0,5
travelapi,be.pxl.travelapi.models,Room,35,17,0,0,15,8,10,5,10,5
travelapi,be.pxl.travelapi.models,Reservation,0,3,0,0,0,1,0,1,0,1
travelapi,be.pxl.travelapi.models,Hotel,14,59,0,0,6,26,4,17,4,17
travelapi,be.pxl.travelapi.models,RoomType,0,44,0,0,0,2,0,1,0,1
travelapi,be.pxl.travelapi.controllers.controlleradvice,BusinessControllerAdvice,3,3,0,0,1,1,1,1,1,1
travelapi,be.pxl.travelapi.controllers,RoomController,10,3,0,0,2,1,1,1,1,1
travelapi,be.pxl.travelapi.controllers,CityController,9,46,0,0,2,9,1,5,1,5
travelapi,be.pxl.travelapi.controllers,CountryController,0,33,0,0,0,7,0,4,0,4
travelapi,be.pxl.travelapi.controllers,HotelController,85,3,0,0,16,1,8,1,8,1
travelapi,be.pxl.travelapi.controllers,RegionController,41,3,0,0,8,1,4,1,4,1
travelapi,be.pxl.travelapi.utils,FileUploadUtil,45,0,2,0,11,0,3,0,2,0
travelapi,be.pxl.travelapi.dto,CreateRoomResource,27,0,0,0,10,0,5,0,5,0
travelapi,be.pxl.travelapi.dto,CreateRegionResource,3,18,0,0,1,7,1,3,1,3
travelapi,be.pxl.travelapi.dto,CreateBookingResource,3,0,0,0,1,0,1,0,1,0
travelapi,be.pxl.travelapi.dto,CreateCityResource,0,27,0,0,0,10,0,5,0,5
travelapi,be.pxl.travelapi.dto,RegionDto,9,22,0,0,3,7,3,2,3,2
travelapi,be.pxl.travelapi.dto,HotelDto,21,38,0,0,7,11,7,2,7,2
travelapi,be.pxl.travelapi.dto,BookingDto,41,0,0,0,12,0,6,0,6,0
travelapi,be.pxl.travelapi.dto,UserDto,38,0,0,0,12,0,6,0,6,0
travelapi,be.pxl.travelapi.dto,CreateHotelResource,3,54,0,0,1,19,1,9,1,9
travelapi,be.pxl.travelapi.dto,CreateCountryResource,0,15,0,0,0,6,0,3,0,3
travelapi,be.pxl.travelapi.dto,RoomDto,45,0,0,0,14,0,7,0,7,0
travelapi,be.pxl.travelapi.dto,CityDto,0,38,0,0,0,12,0,6,0,6
travelapi,be.pxl.travelapi.dto,CountryDto,0,17,0,0,0,6,0,3,0,3
travelapi,be.pxl.travelapi.services,RoomService,78,3,2,0,14,1,5,1,4,1
travelapi,be.pxl.travelapi.services,RegionService,14,70,2,2,2,13,2,5,0,5
travelapi,be.pxl.travelapi.services,CityService,24,82,2,2,3,17,3,5,1,5
travelapi,be.pxl.travelapi.services,HotelService,26,114,2,2,3,21,3,6,1,6
travelapi,be.pxl.travelapi.services,CountryService,7,51,1,1,1,11,1,4,0,4
travelapi,be.pxl.travelapi.configuration,Swagger2UiConfiguration,0,47,0,0,0,7,0,3,0,3
travelapi,be.pxl.travelapi.exception,BusinessException,4,0,0,0,2,0,1,0,1,0
